iter	Passed	Remaining
574	3800	2809
575	3807	2802
576	3813	2795
577	3819	2788
578	3824	2781
579	3830	2773
580	3836	2766
581	3842	2759
582	3848	2752
583	3853	2745
584	3859	2738
585	3865	2730
586	3871	2723
587	3877	2716
588	3883	2709
589	3889	2703
590	3895	2695
591	3901	2688
592	3907	2681
593	3912	2674
594	3918	2666
595	3923	2659
596	3929	2652
597	3935	2645
598	3940	2637
599	3946	2630
600	3951	2623
601	3958	2616
602	3963	2609
603	3968	2602
604	3975	2595
605	3981	2588
606	3987	2581
607	3992	2574
608	3998	2567
609	4005	2560
610	4010	2553
611	4016	2546
612	4022	2539
613	4028	2532
614	4033	2525
615	4039	2518
616	4045	2511
617	4051	2504
618	4057	2497
619	4063	2490
620	4069	2483
621	4075	2476
622	4081	2470
623	4087	2463
624	4093	2455
625	4098	2448
626	4104	2441
627	4110	2434
628	4115	2427
629	4121	2420
630	4127	2413
631	4134	2407
632	4140	2400
633	4147	2394
634	4155	2388
635	4161	2381
636	4168	2375
637	4174	2368
638	4179	2361
639	4186	2354
640	4191	2347
641	4196	2340
642	4202	2333
643	4208	2326
644	4214	2319
645	4220	2312
646	4226	2306
647	4232	2299
648	4237	2292
649	4244	2285
650	4249	2278
651	4254	2271
652	4260	2264
653	4266	2257
654	4272	2250
655	4278	2243
656	4283	2236
657	4289	2229
658	4295	2222
659	4301	2215
660	4307	2209
661	4312	2202
662	4319	2195
663	4324	2188
664	4329	2180
665	4334	2173
666	4340	2166
667	4345	2159
668	4351	2152
669	4356	2145
670	4361	2138
671	4367	2131
672	4373	2125
673	4379	2118
674	4386	2111
675	4391	2104
676	4397	2098
677	4403	2091
678	4408	2084
679	4415	2077
680	4421	2071
681	4427	2064
682	4432	2057
683	4439	2050
684	4446	2044
685	4452	2038
686	4458	2031
687	4463	2024
688	4469	2017
689	4474	2010
690	4481	2004
691	4487	1997
692	4493	1990
693	4499	1983
694	4505	1977
695	4511	1970
696	4518	1964
697	4523	1957
698	4529	1950
699	4535	1943
700	4540	1936
701	4547	1930
702	4552	1923
703	4558	1916
704	4563	1909
705	4569	1902
706	4575	1896
707	4580	1889
708	4586	1882
709	4591	1875
710	4598	1869
711	4604	1862
712	4609	1855
713	4614	1848
714	4620	1841
715	4626	1835
716	4632	1828
717	4638	1822
718	4645	1815
719	4651	1808
720	4657	1802
721	4663	1795
722	4670	1789
723	4676	1782
724	4683	1776
725	4689	1769
726	4694	1762
727	4700	1756
728	4705	1749
729	4711	1742
730	4717	1735
731	4722	1728
732	4728	1722
733	4733	1715
734	4739	1708
735	4744	1701
736	4749	1695
737	4756	1688
738	4761	1681
739	4767	1675
740	4773	1668
741	4778	1661
742	4784	1654
743	4789	1648
744	4795	1641
745	4801	1634
746	4807	1628
747	4812	1621
748	4817	1614
749	4823	1607
750	4829	1601
751	4835	1594
752	4841	1588
753	4846	1581
754	4853	1574
755	4860	1568
756	4866	1562
757	4872	1555
758	4878	1548
759	4883	1542
760	4889	1535
761	4894	1528
762	4900	1522
763	4906	1515
764	4912	1509
765	4918	1502
766	4924	1495
767	4930	1489
768	4935	1482
769	4941	1475
770	4946	1469
771	4952	1462
772	4958	1456
773	4963	1449
774	4970	1442
775	4976	1436
776	4982	1429
777	4987	1423
778	4992	1416
779	4998	1409
780	5004	1403
781	5010	1396
782	5016	1390
783	5023	1383
784	5028	1377
785	5033	1370
786	5039	1363
787	5045	1357
788	5050	1350
789	5056	1344
790	5062	1337
791	5067	1330
792	5073	1324
793	5079	1317
794	5085	1311
795	5091	1304
796	5096	1298
797	5103	1291
798	5108	1285
799	5114	1278
800	5119	1271
801	5125	1265
802	5131	1258
803	5137	1252
804	5143	1245
805	5149	1239
806	5155	1232
807	5160	1226
808	5167	1219
809	5172	1213
810	5178	1206
811	5185	1200
812	5192	1194
813	5198	1187
814	5204	1181
815	5209	1174
816	5214	1167
817	5220	1161
818	5225	1154
819	5232	1148
820	5238	1142
821	5244	1135
822	5250	1129
823	5256	1122
824	5261	1116
825	5267	1109
826	5272	1103
827	5278	1096
828	5283	1089
829	5290	1083
830	5297	1077
831	5303	1070
832	5309	1064
833	5316	1058
834	5321	1051
835	5327	1045
836	5334	1038
837	5339	1032
838	5346	1025
839	5352	1019
840	5358	1013
841	5364	1006
842	5370	1000
843	5376	993
844	5383	987
845	5388	980
846	5394	974
847	5400	968
848	5405	961
849	5412	955
850	5418	948
851	5425	942
852	5430	935
853	5436	929
854	5442	922
855	5447	916
856	5453	909
857	5459	903
858	5464	897
859	5470	890
860	5476	884
861	5482	877
862	5488	871
863	5494	864
864	5500	858
865	5506	852
866	5513	845
867	5518	839
868	5525	832
869	5530	826
870	5536	819
871	5541	813
872	5547	806
873	5552	800
874	5557	793
875	5564	787
876	5569	781
877	5576	774
878	5582	768
879	5587	761
880	5595	755
881	5600	749
882	5606	742
883	5613	736
884	5619	730
885	5625	723
886	5631	717
887	5637	711
888	5642	704
889	5648	698
890	5654	691
891	5660	685
892	5666	678
893	5672	672
894	5677	666
895	5684	659
896	5689	653
897	5695	646
898	5701	640
899	5706	634
900	5712	627
901	5718	621
902	5723	614
903	5729	608
904	5735	602
905	5742	595
906	5747	589
907	5752	582
908	5758	576
909	5764	570
910	5770	563
911	5776	557
912	5782	550
913	5788	544
914	5796	538
915	5804	532
916	5810	525
917	5816	519
918	5822	513
919	5827	506
920	5834	500
921	5840	494
922	5845	487
923	5851	481
924	5856	474
925	5862	468
926	5869	462
927	5876	455
928	5882	449
929	5887	443
930	5893	436
931	5898	430
932	5904	423
933	5910	417
934	5915	411
935	5921	404
936	5927	398
937	5932	392
938	5938	385
939	5943	379
940	5948	372
941	5955	366
942	5961	360
943	5967	354
944	5973	347
945	5978	341
946	5985	334
947	5990	328
948	5997	322
949	6002	315
950	6009	309
951	6014	303
952	6020	296
953	6027	290
954	6032	284
955	6037	277
956	6043	271
957	6048	265
958	6055	258
959	6061	252
960	6067	246
961	6073	239
962	6079	233
963	6086	227
964	6092	220
965	6098	214
966	6106	208
967	6116	202
968	6122	195
969	6129	189
970	6136	183
971	6141	176
972	6148	170
973	6155	164
974	6162	158
975	6167	151
976	6175	145
977	6181	139
978	6188	132
979	6194	126
980	6200	120
981	6207	113
982	6213	107
983	6219	101
984	6225	94
985	6232	88
986	6239	82
987	6247	75
988	6252	69
989	6258	63
990	6264	56
991	6270	50
992	6277	44
993	6282	37
994	6289	31
995	6295	25
996	6301	18
997	6307	12
998	6313	6
999	6319	0
