Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"1,4-dimethylbenzene (p-Xylene)",CC1=CC=C(C=C1)C,106-42-3,biofuel,106.16799999999999,106.07825032,2.30344,0.0,0.0,0.0,0.0,35.916
ethylbenzene,CCC1=CC=CC=C1,100-41-4,biofuel,106.16799999999996,106.07825032,2.2490000000000006,0.0,0.0,1.0,0.0,35.82
Indane,C1CC2=CC=CC=C2C1,496-11-7,biofuel,118.17899999999997,118.07825032,2.1753,0.0,0.0,0.0,0.0,38.46700000000001
Propenylbenzene,CC=CC1=CC=CC=C1,637-50-3,biofuel,118.17899999999996,118.07825032,2.7197000000000005,0.0,0.0,1.0,0.0,41.15000000000002
n-propylbenzene,CCCC1=CC=CC=C1,103-65-1,biofuel,120.19499999999995,120.093900384,2.639100000000001,0.0,0.0,2.0,0.0,40.43700000000001
"1,2,3-trimethylbenzene",CC1=C(C(=CC=C1)C)C,526-73-8,biofuel,120.19499999999996,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,40.65300000000001
"1,2,4-trimethylbenzene",CC1=CC(=C(C=C1)C)C,95-63-6,biofuel,120.19499999999998,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,40.65300000000001
"1,3,5-trimethylbenzene",CC1=CC(=CC(=C1)C)C,108-67-8,biofuel,120.19499999999998,120.093900384,2.611860000000001,0.0,0.0,0.0,0.0,40.65300000000001
"2,4-Dimethyl-2-pentene",CC(C)C=C(C)C,625-65-0,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,1.0,0.0,34.26899999999999
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,540-84-1,biofuel,114.23199999999999,114.14085057599999,3.0786000000000016,0.0,0.0,1.0,0.0,38.91
3-Methyl-2-butanone,CC(C)C(=O)C,563-80-4,biofuel,86.13399999999999,86.07316494,1.2314,0.0,1.0,1.0,17.07,25.518999999999988
