Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
2-Methyl-3-Heptene,CCC(C)=CC(C)C,biofuel,CCC(C)=CC(C)C,112.21599999999997,112.12520051199999,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997
2-Methyl-3-Hexene,CCC(C)=CC(C)C,biofuel,CCC(C)=CC(C)C,112.21599999999997,112.12520051199999,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997,112.21599999999997
2-Methylnonane,CCCCCCC(C)CC,biofuel,CCCCCCC(C)CC,142.286,142.172150704,142.286,142.286,142.286,142.286,142.286,142.286,142.286
3-Methylnonane,CCCCCCC(C)CCC,biofuel,CCCCCCC(C)CCC,156.313,156.187800768,156.313,156.313,156.313,156.313,156.313,156.313,156.313
4-Methylnonane,CCCCC(C)CCCC,biofuel,CCCCC(C)CCCC,142.286,142.172150704,142.286,142.286,142.286,142.286,142.286,142.286,142.286
5-Methylnonane,CCCCCC(C)CCC,biofuel,CCCCCC(C)CCC,142.286,142.172150704,142.286,142.286,142.286,142.286,142.286,142.286,142.286
"2,2,3,3-tetramethylpentane",CC(C)(C)CC(C)(C)C(C)(C)C,biofuel,CC(C)(C)CC(C)(C)C(C)(C)C,170.33999999999997,170.203450832,170.33999999999997,170.33999999999997,170.33999999999997,170.33999999999997,170.33999999999997,170.33999999999997,170.33999999999997
"2,2-dimethyl-3-ethylpentane",CCC(C)(CC)C(C)(C)C,biofuel,CCC(C)(CC)C(C)(C)C,142.28599999999997,142.172150704,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997
"2,2-dimethylbutane",CC(C)(C)CC(C)(C)C,biofuel,CC(C)(C)CC(C)(C)C,128.259,128.15650064,128.259,128.259,128.259,128.259,128.259,128.259,128.259
"2,4-Dimethyl-3-ethylpentane",CCC(C)(CC)C(C)(C)C,biofuel,CCC(C)(CC)C(C)(C)C,142.28599999999997,142.172150704,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997,142.28599999999997
"2,3-dimethylbutane",CC(C)C(C)C(C)C,biofuel,CC(C)C(C)C(C)C,114.23199999999999,114.14085057599999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999
"2,2,3-trimethylbutane",CC(C)(C)C(C)(C)C(C)(C)C,biofuel,CC(C)(C)C(C)(C)C(C)(C)C,156.313,156.187800768,156.313,156.313,156.313,156.313,156.313,156.313,156.313
"2,2-Dimethylpropane",CC(C)(C)C,biofuel,CC(C)(C)C,72.151,72.093900384,72.151,72.151,72.151,72.151,72.151,72.151,72.151
2-methylpentane,CCC(C)C(C)C,biofuel,CCC(C)C(C)C,100.20499999999998,100.12520051199999,100.20499999999998,100.20499999999998,100.20499999999998,100.20499999999998,100.20499999999998,100.20499999999998,100.20499999999998
3-methylpentane,CCC(C)CC(C)C,biofuel,CCC(C)CC(C)C,114.23199999999999,114.14085057599999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999
3-Hexene,C=CCC(C)C,biofuel,C=CCC(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
3-methyl-1-pentene,C=CCCC(C)C,biofuel,C=CCCC(C)C,98.18899999999998,98.109550448,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998
2-ethyl-1-butene,C=CC(C)CC,biofuel,C=CC(C)CC,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
"2,3-dimethyl-1-butene",CC(C)=CC(C)C,biofuel,CC(C)=CC(C)C,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
