Name,SMILES,CAS,Type
2-Methylheptane,CCCCCC(C)C,592-27-8,biofuel
3-Methylheptane,CCCCC(C)CC,589-81-1,biofuel
4-Methylheptane,CCCC(C)CCC,589-53-7,biofuel
3-Methyltetrahydrofuran,CC1CCOC1,13423-15-9,not biofuel
"5-Methyl-2,3-dihydrofuran",CC1=CCCO1,1487-15-6,not biofuel
2-Methyloxane,CC1CCCCO1,10141-72-7,not biofuel
3-Methyloxane,CC1CCCOC1,26093-63-0,not biofuel
4-Methyloxane,CC1CCOCC1,4717-96-8,not biofuel
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel
3-Ethyloxane,CCC1CCCOC1,31468-34-5,not biofuel
4-Ethyloxane,CCC1CCOCC1,,not biofuel
"2,6-Dimethyloxane",CC1CCCC(C)O1,73237-48-6,not biofuel
"2,3,5-Trimethyltetrahydrofuran",CC1CC(C)C(C)O1,2060048-64-6,not biofuel
2-Propyltetrahydrofuran,CCCC1CCCO1,3208-22-8,not biofuel
2-Propyloxane,CCCC1CCCCO1,3857-17-8,not biofuel
"2,3,4,5-Tetramethyltetrahydrofuran",CC1OC(C)C(C)C1C,,not biofuel
2-Isobutyltetrahydrofuran,CC(C)CC1CCCO1,651057-21-5,not biofuel
"2,5-Dimethoxytetrahydrofuran",COC1CCC(OC)O1,696-59-3,not biofuel
"2,5-Dimethoxy-2,5-dihydrofuran",COC1OC(OC)C=C1,332-77-4,not biofuel
"2,3-Dimethyltetrahydrofuran",CC1CCOC1C,16251-73-3,not biofuel
"2,5-Dimethyltetrahydrofuran",CC1CCC(C)O1,1003-38-9,not biofuel
"2,4-Dimethyltetrahydrofuran",CC1COC(C)C1,64265-26-5,not biofuel
2-Ethyltetrahydrofuran,CCC1CCCO1,1003-30-1,not biofuel
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel
2-Methoxy-2-methylpropane,COC(C)(C)C,1634-04-4,not biofuel
tert-Amyl methylether,CCC(C)(C)OC,994-05-8,not biofuel
